mode: set
cheat-go/pkg/config/loader.go:23.43,27.2 1 1
cheat-go/pkg/config/loader.go:30.42,32.24 1 1
cheat-go/pkg/config/loader.go:32.24,33.62 1 1
cheat-go/pkg/config/loader.go:33.62,35.4 1 1
cheat-go/pkg/config/loader.go:39.2,45.36 2 1
cheat-go/pkg/config/loader.go:45.36,47.62 2 1
cheat-go/pkg/config/loader.go:47.62,49.4 1 1
cheat-go/pkg/config/loader.go:53.2,53.29 1 1
cheat-go/pkg/config/loader.go:57.61,59.16 2 1
cheat-go/pkg/config/loader.go:59.16,61.3 1 1
cheat-go/pkg/config/loader.go:63.2,64.54 2 1
cheat-go/pkg/config/loader.go:64.54,66.3 1 1
cheat-go/pkg/config/loader.go:68.2,68.42 1 1
cheat-go/pkg/config/loader.go:72.74,76.27 2 1
cheat-go/pkg/config/loader.go:76.27,78.3 1 1
cheat-go/pkg/config/loader.go:80.2,80.24 1 1
cheat-go/pkg/config/loader.go:80.24,82.3 1 1
cheat-go/pkg/config/loader.go:84.2,84.37 1 1
cheat-go/pkg/config/loader.go:84.37,86.3 1 1
cheat-go/pkg/config/loader.go:86.8,88.37 1 1
cheat-go/pkg/config/loader.go:88.37,90.4 1 0
cheat-go/pkg/config/loader.go:91.3,91.34 1 1
cheat-go/pkg/config/loader.go:91.34,93.4 1 0
cheat-go/pkg/config/loader.go:96.2,96.31 1 1
cheat-go/pkg/config/loader.go:96.31,98.3 1 1
cheat-go/pkg/config/loader.go:98.8,100.45 1 1
cheat-go/pkg/config/loader.go:100.45,101.50 1 1
cheat-go/pkg/config/loader.go:101.50,103.5 1 1
cheat-go/pkg/config/loader.go:107.2,107.26 1 1
cheat-go/pkg/config/loader.go:107.26,109.3 1 1
cheat-go/pkg/config/loader.go:112.2,113.23 2 1
cheat-go/pkg/config/loader.go:113.23,115.3 1 0
cheat-go/pkg/config/loader.go:117.2,117.20 1 1
cheat-go/pkg/config/loader.go:121.58,123.16 2 1
cheat-go/pkg/config/loader.go:123.16,125.3 1 0
cheat-go/pkg/config/loader.go:128.2,129.47 2 1
cheat-go/pkg/config/loader.go:129.47,131.3 1 1
cheat-go/pkg/config/loader.go:133.2,133.39 1 1
cheat-go/pkg/config/loader.go:137.37,138.38 1 1
cheat-go/pkg/config/loader.go:138.38,140.3 1 1
cheat-go/pkg/config/loader.go:142.2,143.16 2 1
cheat-go/pkg/config/loader.go:143.16,145.3 1 0
cheat-go/pkg/config/loader.go:147.2,147.38 1 1
cheat-go/pkg/config/types.go:52.46,56.28 2 1
cheat-go/pkg/config/types.go:56.28,58.3 1 0
cheat-go/pkg/config/types.go:61.2,61.72 1 1
cheat-go/pkg/config/types.go:61.72,63.3 1 0
cheat-go/pkg/config/types.go:66.2,66.73 1 1
cheat-go/pkg/config/types.go:66.73,68.3 1 0
cheat-go/pkg/config/types.go:70.2,73.3 1 1
cheat-go/pkg/config/types.go:77.43,81.35 2 1
cheat-go/pkg/config/types.go:81.35,82.29 1 1
cheat-go/pkg/config/types.go:82.29,84.4 1 0
cheat-go/pkg/config/types.go:88.2,88.38 1 1
cheat-go/pkg/config/types.go:88.38,90.3 1 0
cheat-go/pkg/config/types.go:93.2,93.41 1 1
cheat-go/pkg/config/types.go:93.41,95.3 1 0
cheat-go/pkg/config/types.go:97.2,97.15 1 1
cheat-go/pkg/config/types.go:101.45,105.44 2 1
cheat-go/pkg/config/types.go:105.44,106.49 1 1
cheat-go/pkg/config/types.go:106.49,108.4 1 0
cheat-go/pkg/config/types.go:112.2,113.38 2 1
cheat-go/pkg/config/types.go:113.38,114.54 1 1
cheat-go/pkg/config/types.go:114.54,116.4 1 0
cheat-go/pkg/config/types.go:117.3,117.25 1 1
cheat-go/pkg/config/types.go:120.2,120.15 1 1
cheat-go/pkg/config/types.go:124.38,125.36 1 1
cheat-go/pkg/config/types.go:125.36,126.21 1 1
cheat-go/pkg/config/types.go:126.21,128.4 1 1
cheat-go/pkg/config/types.go:130.2,130.14 1 0
cheat-go/pkg/config/types.go:134.43,135.41 1 1
cheat-go/pkg/config/types.go:135.41,136.21 1 1
cheat-go/pkg/config/types.go:136.21,138.4 1 1
cheat-go/pkg/config/types.go:140.2,140.14 1 0
cheat-go/pkg/config/types.go:144.40,145.37 1 1
cheat-go/pkg/config/types.go:145.37,146.22 1 1
cheat-go/pkg/config/types.go:146.22,148.4 1 1
cheat-go/pkg/config/types.go:150.2,150.14 1 0
cheat-go/pkg/config/types.go:154.30,176.2 1 1
